"ec_clean_tenant_id"|"ec_lotting_attribute_name"|"ec_lotting_attribute_value"|"ec_lotting_attribute_priority"|"itm_nbr_sus_itm"|"material_number_sap_dim_mtrl"|"usf_product_number_usf_integrated_product_master "
0uv4X0I|Storage Type|NOT APPLICABLE|05|1247179||
0uv4X0I|Packaging|CARTON|06|1247179||
0uv4X0I|Growing Area|WESTERN|07|1247179||
0uv4X0I|Growing Practices|CONVENTIONAL|08|1247179||
0uv4X0I|Product Style|WHOLE FRESH|09|1247179||
0uv4X0I|Processing|NOT IDENTIFIED|10|1247179||
0uv4X0I|Skin State|SKIN-ON|11|1247179||
0uv4X0I|Core State|WITH CORE|12|1247179||
0p2C0RS|Primary Variety|RED|01|8148530|8148530|
0p2C0RS|Sub Variety / Color|RED|02|8148530|8148530|
